Date,Price,Open,High,Low,Vol.,Change %
01-03-2012,337.52,365.04,373.22,322.86,194.08M,-8.55%
01-02-2012,369.06,368.23,388.83,344.15,206.99M,0.45%
01-01-2012,367.42,313.33,372.28,308.99,221.68M,17.91%
01-12-2011,311.6,359.28,379.79,309.82,195.10M,-10.96%
01-11-2011,349.95,391.44,406.95,337.7,161.41M,-11.32%
01-10-2011,394.61,355.78,406.5,342.53,147.70M,8.56%
01-09-2011,363.49,358.25,386.26,336.15,253.01M,3.29%
01-08-2011,351.91,376.82,377.23,320.16,178.73M,-5.48%
01-07-2011,372.3,407.85,407.85,370.14,170.60M,-7.85%
01-06-2011,404.03,428.08,434.83,372.37,172.03M,-5.60%
01-05-2011,428.02,442.43,443.73,403.96,145.04M,-3.24%
01-04-2011,442.36,471.72,479.3,436.18,130.00M,-6.23%
01-03-2011,471.75,437.84,474.4,433.48,199.30M,8.80%
01-02-2011,433.59,415.99,453.89,398,248.98M,4.89%
01-01-2011,413.38,478.9,490.77,405.6,206.49M,-13.17%
01-12-2010,476.06,442.92,483.39,440.11,172.60M,7.42%
01-11-2010,443.19,504.08,505.83,430.92,208.57M,-10.09%
01-10-2010,492.95,446.07,499.13,445.17,221.87M,11.04%
01-09-2010,443.93,415.96,471.48,414.14,222.14M,7.40%
01-08-2010,413.33,456.86,463.61,411.45,215.24M,-8.96%
01-07-2010,454.01,487.44,492.14,452.93,157.23M,-7.36%
01-06-2010,490.07,469.14,491.91,447.46,187.13M,4.23%
01-05-2010,470.17,461.36,491.67,438.88,219.51M,1.16%
01-04-2010,464.78,484.74,516.98,455.06,173.98M,-3.78%
01-03-2010,483.05,442.92,499.58,440.4,193.66M,9.73%
01-02-2010,440.2,466.53,475.01,431.3,151.14M,-6.43%
01-01-2010,470.44,490.63,517.07,457.81,296.74M,-4.07%
01-12-2009,490.38,483.39,503.63,445.17,156.88M,2.54%
01-11-2009,478.22,431.69,500.46,405.21,289.15M,10.14%
01-10-2009,434.19,494.61,513.81,432.13,279.99M,-12.28%
01-09-2009,495,455.24,503.6,432.42,331.44M,9.80%
01-08-2009,450.81,442.67,477.77,419.9,273.31M,2.54%
01-07-2009,439.64,456.39,490.81,386.06,395.06M,-3.36%
01-06-2009,454.93,523.86,534.88,427.18,392.31M,-10.94%
01-05-2009,510.8,416.17,569.95,412.79,362.93M,25.78%
01-04-2009,406.11,342.42,413.69,336.65,360.87M,18.47%
01-03-2009,342.81,276.25,356,250.76,453.20M,20.43%
01-02-2009,284.65,290.04,317.94,270.1,331.25M,-4.35%
01-01-2009,297.59,278.79,312.52,239.45,487.45M,7.37%
01-12-2008,277.16,253.01,316.34,230.45,590.59M,8.66%
01-11-2008,255.06,323.54,338.42,232.05,586.70M,-17.52%
01-10-2008,309.25,440.67,441.35,209.1,560.15M,-29.44%
01-09-2008,438.28,476.65,505.88,396.83,391.67M,-8.75%
01-08-2008,480.29,487.9,534.2,461.54,251.44M,-3.23%
01-07-2008,496.32,474.4,525.76,431.68,375.76M,5.36%
01-06-2008,471.06,545.9,549.49,439.83,403.31M,-12.83%
01-05-2008,540.39,680.35,680.35,537.41,202.77M,-8.07%
01-04-2008,587.83,516.89,611.1,504.41,239.69M,15.39%
01-03-2008,509.43,539.56,545.99,476.65,260.18M,-8.02%
01-02-2008,553.87,559.84,594.01,502.5,221.08M,-0.62%
01-01-2008,557.34,649.77,741.5,476.65,402.39M,-14.01%
01-12-2007,648.13,649.36,671.8,596.16,220.66M,1.09%
